"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1356,"NCT01314131","Use of Autobiographical and Interest Assessment for a Better Stimulation of Patients in Nursing Home",,"Unknown status","No Results Available","Alzheimer's Disease","Behavioral: Stimulation group","The primary outcome is the engagement duration for an activity, measured by the OME (Observational Measurement of Engagement) scale.","Association Recherche Méthodologie Evaluation Psychiatrique","All","60 Years and older   (Adult, Older Adult)","Not Applicable","48","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)","ARMEP-01","March 2011","September 2011","June 2012","March 14, 2011",,"April 29, 2011","Centre Mémoire de Ressources et de Recherche, Nice, France",,"https://ClinicalTrials.gov/show/NCT01314131"
1357,"NCT01303744","Evaluation of Safety & Tolerability of Multiple Dose Regimens of CHF 5074","CT04","Completed","Has Results","Alzheimer's Disease","Drug: CHF 5074 1x|Drug: CHF 5074 2x|Drug: CHF 5074 3x|Drug: Placebo","Differences in ∆sCD40L Levels Between CHF 5074 Doses and Placebo at Any Specific Time Point|Measurement of Trough CHF 5074 Plasma Levels|Changes in Plasma ΔTNFα Concentrations","CERESPIR","All","18 Years to 79 Years   (Adult, Older Adult)","Phase 2","96","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","CCD-1014-PR-0053|2010-024270-19","March 2011","April 2012","April 2012","February 25, 2011","January 11, 2016","January 11, 2016","Comprehensive NeuroScience, Inc., St. Petersburg, Florida, United States|Memory Enhancement Center of America, Inc., Eatontown, New Jersey, United States|Memory Center of New Jersey, Inc., Monroe Twp, New Jersey, United States|Memory Enhancement Center of NJ, Inc., Toms River, New Jersey, United States|Senior Adults Specialty Research, Austin, Texas, United States|Clinica Santa Maria, Div Neurologia, Castellanza, Italy|Osp. Maggiore Policlinico, Clin. Neurol, Milano, Italy|Osp. Niguarda Ca'Granda, Dip. Di Neuroscienze, Milano, Italy|Nuovo Osp Civ S. Agostino Estense, Dip di Neuroscienze, Modena, Italy",,"https://ClinicalTrials.gov/show/NCT01303744"
1358,"NCT01297114","Imaging of Cognition, Learning, and Memory in Aging",,"Completed","No Results Available","Alzheimer's Disease","Drug: Florbetaben","Cognition as measured with cognitive evaluations","Yaakov Stern|National Institute on Aging (NIA)|Columbia University","All","20 Years to 70 Years   (Adult, Older Adult)",,"294","Other|NIH","Observational","Observational Model: Cohort|Time Perspective: Cross-Sectional","AAAB0596|R01AG026158","March 2011","October 1, 2017","October 1, 2017","February 16, 2011",,"November 1, 2017","Columbia University Medical Center, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT01297114"
1359,"NCT01294540","Evaluation of the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of E2609 in Healthy Subjects and an Elderly Cohort",,"Completed","No Results Available","Alzheimer's Disease","Drug: Drug: E2609|Drug: Placebo","Safety and tolerability as evidenced by the number of subjects with adverse events|To assess the pharmacokinetics (PK) of E2609 in plasma and urine following administration of single oral doses","Eisai Inc.","All","30 Years to 85 Years   (Adult, Older Adult)","Phase 1","73","Industry","Interventional","Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","E2609-A001-001","December 2010","October 2011","December 2011","February 11, 2011",,"August 29, 2013","Glendale Adventist Medical Center, Glendale, California, United States",,"https://ClinicalTrials.gov/show/NCT01294540"
1360,"NCT01258452","Study to Evaluate the Effects of Food Ingestion on the Pharmacokinetics of CHF 5074 in Healthy Young Male Subjects","CT03","Completed","No Results Available","Alzheimer's Disease","Drug: CHF 5074|Drug: CHF 5974","area under the curve of plasma CHF 5074 levels from 0 to 96 hours (AUC 0-96)|peak CHF 5074 plasma concentration (Cmax)|the time of occurrence of Cmax (Tmax)","CERESPIR","Male","18 Years to 45 Years   (Adult)","Phase 1","12","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CCD-1013-PR-0052","February 2011","March 2011","March 2011","December 13, 2010",,"February 10, 2015","Iberica Clinical Research Center, Eatontown, New Jersey, United States",,"https://ClinicalTrials.gov/show/NCT01258452"
1361,"NCT01253499","Multiple Dose Study of TRx0037",,"Completed","No Results Available","Alzheimer's Disease","Drug: TRx0037","Bioavailability|Pharmacokinetics|Safety and tolerability","TauRx Therapeutics Ltd|Quotient Clinical","All","55 Years and older   (Adult, Older Adult)","Phase 1","31","Industry|Other","Interventional","Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Basic Science","TRx-037-003","March 2010","May 2010","May 2010","December 3, 2010",,"December 17, 2010",,,"https://ClinicalTrials.gov/show/NCT01253499"
1362,"NCT01253122","Comparative Bioavailability in Healthy Elderly Volunteers",,"Completed","No Results Available","Alzheimer's Disease","Drug: TRx0037","Relative bioavailability|Safety, tolerability and pharmacokinetics","TauRx Therapeutics Ltd|Quotient Clinical","All","55 Years and older   (Adult, Older Adult)","Phase 1","24","Industry|Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","TRx-037-002","February 2010","April 2010","April 2010","December 3, 2010",,"December 3, 2010",,,"https://ClinicalTrials.gov/show/NCT01253122"
1363,"NCT01093664","Safety/Tolerability, Immunological and Clinical Activity of a Boost Immunization With AFFITOPE AD02",,"Completed","No Results Available","Alzheimer's Disease","Biological: AFFITOPE AD02","Safety and Tolerability|Immunological and clinical activity","Affiris AG","All","50 Years to 85 Years   (Adult, Older Adult)","Phase 1","20","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","AFF004A","October 2009","July 2010","July 2010","March 26, 2010",,"October 19, 2010","Ordination Schmitz, Vienna, Austria",,"https://ClinicalTrials.gov/show/NCT01093664"
1364,"NCT01227252","A Safety Study of LY2886721 Multiple Doses in Healthy Subjects",,"Completed","Has Results","Alzheimer's Disease","Drug: LY2886721|Drug: Placebo","Number of Participants With Clinically Significant Effects|Plasma Maximum Observed Drug Concentration at Steady State (Cmax,ss) of LY2886721|Plasma Area Under the Concentration Versus Time Curve (AUC) of LY2886721|Plasma Amyloid Beta (Aβ) 1-40 Concentration|Cerebrospinal Fluid (CSF) Concentration of LY2886721|Change From Baseline to Day 15 Endpoint in Cerebrospinal Fluid (CSF) Amyloid Beta (Aβ) 1-40 Concentration","Eli Lilly and Company","All","20 Years and older   (Adult, Older Adult)","Phase 1","42","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Basic Science","13734|I4O-MC-BACB","December 2010","April 2011","April 2011","October 25, 2010","July 19, 2019","July 19, 2019","For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Glendale, California, United States",,"https://ClinicalTrials.gov/show/NCT01227252"
1365,"NCT01221259","A Randomized, Double-blind, Placebo-controlled, Sequential Ascending, Single-dose Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of E2212 in Healthy Subjects",,"Completed","No Results Available","Alzheimer's Disease","Drug: E2212|Drug: placebo","To evaluate the safety and tolerability of single ascending oral doses of E2212 in healthy subjects.","Eisai Inc.","All","18 Years to 55 Years   (Adult)","Phase 1","60","Industry","Interventional","Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","E2212-A001-001","January 2010","October 2011","November 2012","October 14, 2010",,"May 22, 2013","Overland Park, Kansas, United States",,"https://ClinicalTrials.gov/show/NCT01221259"
1366,"NCT01057030","Multiple Dose Japanese Bridging Study",,"Completed","No Results Available","Alzheimer Disease","Drug: BMS-708163|Drug: Placebo","BMS-708163 or placebo in Japanese and non-Japanese: Safety and tolerability (AE's, ECG, vital signs, safety labs)|BMS-708163 pharmacokinetic parameters (Cmax, Cmin, Ctrough, Tmax, AUC(TAU), AI, and CLT/F and T-HALF (only following Day 14 dose))","Bristol-Myers Squibb","Male","20 Years to 45 Years   (Adult)","Phase 1","22","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)","CN156-038","March 2010","June 2010","June 2010","January 27, 2010",,"January 25, 2011","California Clinical Trials Medical Group, Glendale, California, United States",,"https://ClinicalTrials.gov/show/NCT01057030"
1367,"NCT02848404","Therapeutic Efficacy of Categorical Language Fluency Smartphone Game Application",,"Enrolling by invitation","No Results Available","Mild Cognitive Impairment|Alzheimer's Disease","Device: Categorical Language Fluency Smartphone Application","Application usage log|Subjective Memory Complaint Questionnaire|Geriatric Depression Scale|Korean version of MMSE for dementia screening","Seoul National University Bundang Hospital|Seoul National University|Ministry of Science, ICT and Future Planning","All","55 Years and older   (Adult, Older Adult)","Not Applicable","20","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2010-0028631","June 2016","December 2019","March 2020","July 28, 2016",,"April 4, 2019",,,"https://ClinicalTrials.gov/show/NCT02848404"
1368,"NCT01203384","Study to Evaluate Safety, Pharmacokinetics and Pharmacodynamics of CHF5074 in Healthy Young Male Subjects","CT02","Completed","No Results Available","Alzheimer's Disease","Drug: CHF5074 1x|Drug: CHF5074 2x|Drug: CHF5074 3x|Drug: Placebo","Adverse Events|Dose linearity of CHF5074 plasma levels (Cmax)|Dose linearity of CHF5074 plasma levels (AUC 0-t)","CERESPIR","Male","18 Years to 45 Years   (Adult)","Phase 1","48","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","CCD-0913-PR-0038","September 2010","December 2010","December 2010","September 16, 2010",,"February 10, 2015","Iberica Clinical Research Center, Eatontown, New Jersey, United States",,"https://ClinicalTrials.gov/show/NCT01203384"
1369,"NCT01042314","Drug-Drug Interaction Study With Aricept® (Donepezil)",,"Completed","No Results Available","Alzheimer Disease","Drug: Donepezil|Drug: BMS-708163","Aricept® alone and with BMS-708163: Aricept® Multiple-dose pharmacokinetic parameters (Cmax, Tmax, AUC (TAU), and Ctrough) will be assessed without BMS-708163 on Day 14 and with BMS-708163 (Ctrough) on Day 28|Aricept® alone and with BMS-708163: Safety and tolerability based on adverse events, ECG, vital signs and safety labs","Bristol-Myers Squibb","All","18 Years to 55 Years   (Adult)","Phase 1","18","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)","CN156-008","January 2010","April 2010","April 2010","January 5, 2010",,"January 25, 2011","Parexel International - Baltimore Epcu, Baltimore, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT01042314"
1370,"NCT01039194","Drug-Drug Interaction to Study the Effect of BMS-708163 on Pharmacokinetics (PK) of Galantamine Extended Release (ER)",,"Completed","No Results Available","Alzheimer Disease","Drug: galantamine|Drug: BMS-708163","Galantamine alone and with BMS-708163: Galantamine PK parameters (Cmax, Tmax, AUC(TAU) and Ctrough rations will be assessed without BMS-708163 Day 14) and with BMS708-163 (Ctrough Day 24)|Galantamine alone and with BMS 708163: Safety and tolerability (AE's, ECG, vital signs, safety labs)","Bristol-Myers Squibb","All","18 Years to 55 Years   (Adult)","Phase 1","18","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)","CN156-009","January 2010","April 2010","April 2010","December 24, 2009",,"January 25, 2011","Parexel International - Baltimore Epcu, Baltimore, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT01039194"
1371,"NCT01002079","Drug-Drug Interaction Study With Rifampin",,"Completed","No Results Available","Alzheimer Disease","Drug: BMS-708163|Drug: Rifampin","BMS-708163 alone and with rifampin: BMS-708163 single dose PK parameters (Cmax, Tmax, T-HALF, AUC(0-T), AUC(INF), CLT/F and molar AUCmet/AUCparent ratios will be assessed without rifampin (Day 1) and with rifampin (Day 13)|BMS-708163 alone and with rifampin: Safety and tolerability (AE's, ECG, vital signs, safety labs)","Bristol-Myers Squibb|PRA Health Sciences","All","18 Years to 55 Years   (Adult)","Phase 1","20","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","CN156-028","August 2010","October 2010","October 2010","October 27, 2009",,"January 25, 2011","Local Institution, Bangalore, India",,"https://ClinicalTrials.gov/show/NCT01002079"
