cause_of_death,carto_db_cause_of_death,year,dead_and_missing,description
heart failure,drowning or exhaustion related death,2002,1,"Died of a heart attack a man just landed detained at the police station of Fuerteventura, in the Canary Islands (Jul 4, 2002)"
asphyxiated,drowning or exhaustion related death,2002,2,"Brindisi: suffocated in trucks where they were hidden, 2 dead (Jul 2, 2002)"
car accident,"violent accidental death (transport, blown in minefield...)",2002,1,"died in a car accident after taxi driver tried to escape the border police (TR-GR)  (Jun 23, 2002)"
shot by the police,authorities related death,2002,2,"2 men killed by the fire of the Turkish police along the border with Iran to Aslanyazi (Jun 24, 2002)"
lack of medical care,drowning or exhaustion related death,2002,1,"died after lack of medical treatment in asylum seeker centre Vught (NL) (Jun 22, 2002)"
shot by the police,authorities related death,2002,2,"shot by security forces when trying to enter Turkey near Aslanyazi (Jun 18, 2002)"
hypothermia,drowning or exhaustion related death,2002,19,"Found 19 corpses, including 9 children. Died of cold walking through the border between Turkey and Iran into Europe (May 31, 2002)"
asphyxiated,drowning or exhaustion related death,2002,1,"died in attempt to enter Melilla (E/MA), got trapped in frontier fence and suffocated (May 25, 2002). From Del Grande's data set (translated): A minor boy dies suffocated after being trapped in the network that was climbing to get to Melilla from Morocco (May 27, 2002)"
shot by the police,authorities related death,2002,1,"Turkish Coast Guard fires on boat with 250 people on board after refusing to stop. 1 dead, 7 injured (May 23, 2002)"
car accident,"violent accidental death (transport, blown in minefield...)",2002,1,"died when lorry with 35 refugees inside turned over near Köprüköy (TR) (May 22, 2002)"
shot by the police,authorities related death,2002,1,"shot to death on a vessel near Cyprus by Turkish coast guards, on way to Italy (May 21, 2002)"
frozen,"violent accidental death (transport, blown in minefield...)",2002,1,"stowaway, found dead in the wheelarch of a flight from Ghana to Great Britain. (May 15, 2002). From Del Grande's data set (translated): He died frozen to death a man hidden in the undercarriage of a plane landed at Heathrow from Ghana (May 17, 2002)"
frozen,"violent accidental death (transport, blown in minefield...)",2002,1,"stowaway found in undercarriage of plane from Accra (Ghana) at Heathrow (GB) (May 14, 2002)"
fall,"violent accidental death (transport, blown in minefield...)",2002,1,"Found in Deuil-la-Barre the body of a man who fell from the undercarriage of a plane to Paris, where he traveled secretly (May 12, 2002)"
shot,malicious intent related death / manslaughter,2002,1,"Kurd, shot death during fight between illegal immigrants in refugee camp in Calais (F) (May 5, 2002)"
shot,malicious intent related death / manslaughter,2002,1,"Kurd, shot dead during fight between illegal immigrants in refugee camp in Calais (F) (Apr 14, 2002). From Del Grande's data set (translated): A man is killed by a gunshot during a clash between migrant camp in Calais, waiting to embark secretly for Dover (Apr 15, 2002)"
frozen,"violent accidental death (transport, blown in minefield...)",2002,1,"London Heathrow Airport. Man found frozen to death in the undercarriage of a plane traveling where hidden (Apr 15, 2002)"
asphyxiated,drowning or exhaustion related death,2002,3,"Abandoned in a parking lot in Catalca, near Istanbul, the bodies of three men suffocated hidden in the truck where they traveled to Greece (Apr 14, 2002)"
frozen,"violent accidental death (transport, blown in minefield...)",2002,1,"stowaway, frozen to death in undercarriage of airplane from Uganda to London (GB) (Apr 13, 2002)"
murdered,malicious intent related death / manslaughter,2002,2,"stabbed to death in the street where he lived in Hendon area, Sunderland (GB) (Apr 8, 2002)"
hypothermia,drowning or exhaustion related death,2002,1,"frozen, trying to cross the snow covered border between Bulgaria-Northern Greece (Apr 1, 2002)"
suicide - hanged,suicide,2002,1,"suicide, hung himself in the shower of refugee centre in Schneckenstein (D) (Mar 31, 2002)"
blown in minefield,"violent accidental death (transport, blown in minefield...)",2002,1,"died in minefield near river Evros (GR) trying to cross the Turkish-Greek border (Mar 26, 2002). From Del Grande's data set (translated): Minefield in Evros, greek-turkish border. An explosion 2 dead and 1 seriously injured. They tried to enter illegally in Greece (Mar 21, 2002)"
starved,drowning or exhaustion related death,2002,5,"Rescued off the coast of Libya by the Italian tanker Sesia Valley, a group of migrant claims that 5 men died of starvation during the journey and their bodies were thrown into the sea (Mar 26, 2002)"
blown in minefield,"violent accidental death (transport, blown in minefield...)",2002,2,"died in minefield near river Evros (GR) trying to cross the Turkish-Greek border (Mar 19, 2002). From Del Grande's data set (translated): Minefield in Evros, greek-turkish border. An explosion 2 dead and 1 seriously injured. They tried to enter illegally in Greece (Mar 21, 2002)"
fall,"violent accidental death (transport, blown in minefield...)",2002,1,"stowaway, his body got caught in the axle of a lorry from Morocco to Melilla (E/MA) (Mar 14, 2002). From Del Grande's data set (translated): Found along a road in Melilla the corpse of a boy died when he fell from the truck in which he was traveling hidden from Morocco (Mar 16, 2002)"
shot by the police,authorities related death,2002,3,"Trying to enter illegally into Turkey from the border with Syria, the Turkish police opened fire, 3 deaths (Mar 5, 2002)"
lack of medical care,drowning or exhaustion related death,2002,1,"died in detention centre in Belgium because of medical neglect (Mar 1, 2002)"
suicide - hanged,suicide,2002,1,"suicide, found hung in Lewes Prison (GB) (Feb 19, 2002)"
crushed,"violent accidental death (transport, blown in minefield...)",2002,1,"crushed to death while trying to stowaway on board a train in Channel-tunnel, on way to GB (Feb 19, 2002). From Del Grande's data set (translated): 1 found dead along the tracks in the Channel Tunnel. According to Eurotunnel's death in 2002, 12 people swept under the trains to pass illegally Channel 7 dead in 2001 (Feb 20, 2002)"
fall,"violent accidental death (transport, blown in minefield...)",2002,1,"stowaway, fell from a train in the Channel-Tunnel between France and GB (Feb 17, 2002)"
police violence,authorities related death,2002,1,"beaten to death by border police when trying to cross the Bulgarian-Turkish border (Feb 16, 2002)"
suicide - hanged,suicide,2002,1,"suicide, hung herself because of bad conditions in asylum centre near Allbruck (D) (Feb 14, 2002)"
frozen,"violent accidental death (transport, blown in minefield...)",2002,2,"stowaway, found frozen in undercarriage of plane from Ghana at Heathrow (GB) (Feb 11, 2002)"
police violence,authorities related death,2002,1,"fatally injured by border guard in Messopotamia area of Kastoria (GR-AL border) (Feb 10, 2002)"
suicide - hanged,suicide,2002,1,"suicide, found hanged in Durham prison (GB), in fear of deportation (Feb 9, 2002)"
hypothermia,drowning or exhaustion related death,2002,1,"A frozen to death along the snowy passes of the border between Bulgaria and Greece (Feb 4, 2002)"
asphyxiated,drowning or exhaustion related death,2002,2,"Asphyxiated 2 guys hiding under a truck boarded the ferry to Nador Almeria (Feb 2, 2002)"
asphyxiated,drowning or exhaustion related death,2002,1,"suffocated, ate money to pay smugglers to avoid robbery at military check in Agadez(Niger) (Dec 31, 2002)"
suicide - other,suicide,2002,1,"Kurd, suicide in Schloß Holte-Stukenbrock (D) after rejection of asylum application (Dec 31, 2002)"
asphyxiated,drowning or exhaustion related death,2002,1,"died of cardiac arrest during deportation from Paris (F) to Buenos Aires (ARG) (Dec 29, 2002). From Del Grande's data set (translated): A fifty year old Argentinian refuses to get on the Air France flight which must be returned. The police use force and immobilize it on the seat premendogli his head on his knees, while the other passengers are boarding. The violence of the grip is that the guy dies (Dec 30, 2002)"
suicide - put on fire,suicide,2002,1,"suicide, set himself on fire at Gribskov refugee centre (DK), in fear of deportation. (Dec 27, 2002)"
asphyxiated,drowning or exhaustion related death,2002,3,"burnt at pol.st. in Malaga.Ref. started fire after 2days detention.Pol.didn t open doors (Dec 26, 2002)"
suicide - other,suicide,2002,1,"suicide, found hanged in Huddersfield (GB), wrongly told asylum claim was refused (Dec 23, 2002)"
car accident,"violent accidental death (transport, blown in minefield...)",2002,1,"found death by police under a truck at toll station of Saint-Omer (F) near Calais (Dec 15, 2002). From Del Grande's data set (translated): During a checkpoint in Calais is found the body of a man under the truck where he was hiding to accomplish England (Dec 16, 2002)"
hypothermia,drowning or exhaustion related death,2002,1,"died of exhaustion after long trek, found near Greek village at GR-TR border (Dec 12, 2002). From Del Grande's data set (translated): Found dead on the border with Turkey, in Thrace, who died of cold in a night march to cross the border (Dec 13, 2002)"
fall,"violent accidental death (transport, blown in minefield...)",2002,1,"stowaway, body found in Deuil-la-Barre (F), reportedly fell from airplane wheel-bay (Dec 4, 2002)"
suicide - other,suicide,2002,1,"suicide, in Birmingham (GB) after his asylum claim was refused (Dec 2, 2002)"
suicide - other,suicide,2002,1,"Kurd, suicide, shot himself to death after deportation from Germany to Turkey (Dec 1, 2002)"
shot by the police,authorities related death,2002,2,"shot to death while trying to cross the border between Turkey and Iran (Nov 30, 2002)"
hypothermia,drowning or exhaustion related death,2002,8,"Expelled from the Moroccan auxiliary forces and abandoned in the desert at the border with Algeria 15 km from Oujda, 8 people die of hypothermia, among them 2 women (Dec 1, 2002)"
suicide - other,suicide,2002,1,"suicide in Szombathelyi Detention Centre in Hungary (Nov 20, 2002)"
suicide - put on fire,suicide,2002,1,"suicide, set himself on fire in Syke (D) after his asylum application was rejected, Roma (Nov 14, 2002)"
asphyxiated,drowning or exhaustion related death,2002,5,"stowaways, suffocated inside a trailer on its way from Agadir (MA) to Sevilla (E) (Nov 9, 2002)"
hypothermia,drowning or exhaustion related death,2002,1,"Woman dies of cold in the arms of her husband, were crossing on foot at night the Turkish border with Greece (Nov 7, 2002)"
suicide - put on fire,suicide,2002,1,"suicide, set fire to herself after her asylum claim was refused (Nov 4, 2002)"
suicide - other,suicide,2002,1,"suicide in Red Cross Centre Copenhagen (DK), asylum application was turned down (Nov 1, 2002)"
asphyxiated,drowning or exhaustion related death,2002,5,"At the Port of Algeciras are found the bodies of five young people suffocated in a truck they were traveling in Morocco embarked hidden (Oct 11, 2002)"
lack of medical care,drowning or exhaustion related death,2002,1,"died after being refused medical treatment in detention centre in Leusden (NL) (Jan 30, 2002)"
murdered,malicious intent related death / manslaughter,2002,1,"executed after being deported to Iran by Turkish police  (Jan 19, 2002)"
electrocuted,other,2002,1,"stowaway, electrocuted when train passed under power lines near Frethun (F) (Jan 18, 2002)"
car accident,"violent accidental death (transport, blown in minefield...)",2002,1,"stowaway, died after attempt of jumping off a bound truck in Patras (GR)  (Jan 11, 2002)"
asphyxiated,drowning or exhaustion related death,2002,4,"stowaways, found dead in a shipping container due to depart from Livorno (I) (Jan 11, 2002)"
hypothermia,drowning or exhaustion related death,2002,1,"died of hypothermia,  after long treck across Turkish border into Greece. (Jan 10, 2002)"
lack of medical care,drowning or exhaustion related death,2002,1,"no medical care into asylum centre in Appelscha (NL), too late found cancer (Jan 10, 2002)"
suicide - under train,suicide,2002,1,"suicide, jumped under train in Zwolle (NL) in fear of deportation (Jan 9, 2002)"
suicide - hanged,suicide,2002,1,"suicide, hung himself after negative decision on his asylum application in NL (Jan 8, 2002)"
asphyxiated,drowning or exhaustion related death,2002,5,"Kurds, stowaways found suffocated in truck in Avellino (I) going from BG to I (Jan 7, 2002)"
crushed,"violent accidental death (transport, blown in minefield...)",2002,2,"Kurds, stowaways in lorry from Greece to Italy crushed to death by the load (Jan 6, 2002)"
asphyxiated,drowning or exhaustion related death,2002,2,"stowaway, found dead in a lorry on a ferry from Patras (GR) to Brindisi (I) (Jan 6, 2002)"
hypothermia,drowning or exhaustion related death,2002,9,"died of hypothermia, found dead by police in the area of Kaldiran (TR) (Jan 4, 2002)"
hypothermia,drowning or exhaustion related death,2002,10,"died of cold, dead bodies were discovered by police in the area of Kaldiran (TR) (Jan 4, 2002)"
hypothermia,drowning or exhaustion related death,2002,5,"died from cold, dead bodies were discovered near Menteres (TR) (Jan 4, 2002)"
asphyxiated,drowning or exhaustion related death,2002,3,"stowaways, suffocated in lorry, thrown out on parking place near Catalca (TR) (Jan 3, 2002)"
shot by the police,authorities related death,2002,8,"picked up by police at border BG-MK, shot to death by police near Skopje (MK) (Jan 2, 2002)"
asphyxiated,drowning or exhaustion related death,2002,2,"stowaways suffocated hidden in false compartment in bus from MA to Spain (Jan 1, 2002)"
asphyxiated,drowning or exhaustion related death,2002,1,"Kurd, stowaway suffocated in container during crossing from Greece to North Italy (Jan 1, 2002)"
suicide - other,suicide,2002,1,"suicide, in Schneckenstein asylum seekers hostel (D) in fear of deportation (Jan 1, 2002)"
died in childbirth,drowning or exhaustion related death,2002,1,"asylum seeker died in child birth in Dublin (IRL), hospital did not know medical history (Jan 1, 2002)"
suicide - other,suicide,2001,1,"suicide, in fear of forced deportation from Belgium (Sep 30, 2001)"
blown in minefield,"violent accidental death (transport, blown in minefield...)",2001,1,"died in minefield in Northern Greece trying to cross the Turkish-Greek border (Sep 29, 2001). From Del Grande's data set (translated): Found the remains of a man killed by an explosion in the mine fields between Gemisti and Gefyra, at the border between Turkey and Greece (Sep 29, 2001)"
suicide - hanged,suicide,2001,1,"suicide, hanged himself in a police cell in Les Grisons (CH) in fear of deportation  (Sep 18, 2001)"
suicide - jumped from building,suicide,2001,1,"suicide, jumped from a building in Berlin (D) in fear of deportation (Sep 10, 2001)"
asphyxiated,drowning or exhaustion related death,2001,1,"found dead while in police custody in Ceuta (E/MA) (Sep 7, 2001)"
suicide - hanged,suicide,2001,1,"suicide, found hanged in Nelson (GB) after his asylum claim was refused (Aug 20, 2001)"
asphyxiated,drowning or exhaustion related death,2001,2,"decaying bodies found in the hold of Panamanian vessel in La Coruna (E) (Aug 12, 2001). From Del Grande's data set (translated): Found in the cargo hold of a Panamanian firm in La Coruna, the lifeless bodies of 2 boys (Aug 13, 2001)"
asphyxiated,drowning or exhaustion related death,2001,8,"stowaway, suffocated in cargo container from Belgium to Ireland, Kurd (Aug 11, 2001)"
suicide - jumped from building,suicide,2001,1,"jumped from court house window in Vienna (A), asylum claim had been rejected (Mar 7, 2001)"
died presumably  from ill treatments,malicious intent related death / manslaughter,2001,1,"asylum seeker, died as result of conditions of detention in Turkey  (Jul 21, 2001)"
suicide - jumped from building,suicide,2001,1,"fell from window in refugee centre in Mespelbrunn (D) for fear of deportation (Jul 18, 2001)"
shot by the police,authorities related death,2001,1,"shot dead by Turkish border police (TR/Syria) when refugees bus refused to stop (Jul 15, 2001)"
asphyxiated,drowning or exhaustion related death,2001,2,"died after inhalation of toxic chemicals inside small boat near Tarifa (E) (Jul 14, 2001)"
shot by the police,authorities related death,2001,2,"Turkish police shoot on a minibus load of immigrants who refuse to stop at a checkpoint in the region of Hatay, near Syria. 2 people are killed and 7 injured (Jul 14, 2001)"
murdered,malicious intent related death / manslaughter,2001,1,"A man died in hospital in Catania landed in Sicily on July 2 and wounded in the head with an oar by traffickers (Jul 12, 2001)"
hypothermia,drowning or exhaustion related death,2001,1,"A frozen to death on the border crossings between Bulgaria and Greece (Jul 5, 2001)"
asphyxiated,drowning or exhaustion related death,2001,1,"died of inhalation of toxic gas coming from the boat s motor, on the way to Spain (Jun 26, 2001)"
suicide - other,suicide,2001,1,"suicide of asylum seeker in Gimo reception Centre (S) (Jun 23, 2001)"
fall,"violent accidental death (transport, blown in minefield...)",2001,1,"Tucked away in the undercarriage of a plane at Gatwick, man rushes to the opening of the truck from a height of several hundred meters (Jun 18, 2001)"
frozen,"violent accidental death (transport, blown in minefield...)",2001,1,"stowaway, frozen to death in wheelbay on flight from Bahrein to Heatrow airport (GB) (Jun 13, 2001)"
fall,"violent accidental death (transport, blown in minefield...)",2001,1,"stowaway, fell in carpark in Richmond from wheelbay of plane Bahrein-London (GB) (Jun 13, 2001). From Del Grande's data set (translated): London Heathrow Airport. Found the body of a man frozen in the undercarriage of a plane took off from Bahrain, where he traveled secretly (Jun 14, 2001)"
car accident,"violent accidental death (transport, blown in minefield...)",2001,1,"hit by a car while escaping police who forced Afghani/Pakistani refugees into a bus (Jun 10, 2001)"
murdered,malicious intent related death / manslaughter,2001,12,"They die in Trani, Bari, 12 people, thrown overboard by traffickers. The survivors are 22. (Jun 10, 2001)"
car accident,"violent accidental death (transport, blown in minefield...)",2001,3,"killed in car accident, car fell into river in north-west Romania heading for H (Jun 4, 2001)"
fall,"violent accidental death (transport, blown in minefield...)",2001,1,"died after falling from a cliff, trying to flee from the Guardia Civil near Tarifa (E) (Jun 3, 2001)"
burned,"violent accidental death (transport, blown in minefield...)",2001,1,"died of severe burns after fire in asylum seekers centre in Werdau (D) (May 28, 2001)"
suicide - hanged,suicide,2001,1,"suicide, found hanging after arrest in Soto del Real (E) (May 22, 2001)"
blown in minefield,"violent accidental death (transport, blown in minefield...)",2001,2,"died in marked minefield, crossed into Greece from Turkey via Evros river (May 21, 2001). From Del Grande's data set (translated): After the victims of the previous day, the remains of two other victims of landmines are found in the fields of Evros (May 22, 2001)"
blown in minefield,"violent accidental death (transport, blown in minefield...)",2001,3,"died in minefield in Greece trying to cross the Turkish-Greek border (May 20, 2001). From Del Grande's data set (translated): 3 dead and one seriously injured in a minefield greek-Turkish border Evros (May 21, 2001)"
suicide - other,suicide,2001,1,"suicide in refugee centre De Lier (NL) after rejection of asylum application, Kurd  (May 20, 2001)"
car accident,"violent accidental death (transport, blown in minefield...)",2001,140,"The Libyan authorities announced that they had found in the desert near Murzuq, 93 corpses in a state of decomposition. They were part of a group party from Niger on May 8 and got stuck in the desert after an engine failure the truck they were traveling in 165. The survivors are 25. Another 47 people are reported missing, surely death within a few kilometers (May 18, 2001)"
hypothermia,drowning or exhaustion related death,2001,1,"body found in wheelbay of Iranian plane at Teheran airport  (May 12, 2001)"
hypothermia,drowning or exhaustion related death,2001,1,"frozen, trying to cross the snow covered border between Bulgaria and Northern Greece (May 6, 2001)"
run over by a train,"violent accidental death (transport, blown in minefield...)",2001,2,"Two dead in Calais trying to hide under the direct trains Channel in England (Apr 26, 2001)"
hypothermia,drowning or exhaustion related death,2001,4,"frozen to death at Belles mountain (BG/GR) trying to walk to Greece (Apr 16, 2001). From Del Grande's data set (translated): 4 dead, frozen to death on the passes of the mountains of Belasicas, trying to walk across the border between Bulgaria and Greece. According to authorities, 30 migrants have died since 1994 in these mountains (Apr 17, 2001)"
electrocuted,other,2001,1,"One person dies electrocuted while trying to climb over the fences of the terminal of the Channel Tunnel near Calais (Apr 14, 2001)"
blown in minefield,"violent accidental death (transport, blown in minefield...)",2001,1,"skeleton found in minefield between Greek-Turkish border (Mar 28, 2001)"
blown in minefield,"violent accidental death (transport, blown in minefield...)",2001,1,"expelled Turk, died in minefield at GR/TR border returning to Germany after torture (Mar 28, 2001)"
car accident,"violent accidental death (transport, blown in minefield...)",2001,1,"died after being hit by a truck while leaving Drunten detention centre (NL) in confused state (Mar 26, 2001)"
car accident,"violent accidental death (transport, blown in minefield...)",2001,1,"stowaway, found dead on motorway near Darro (E) preportedly fallen from lorry (Mar 22, 2001). From Del Grande's data set (translated): A young man falls from the truck in which he was traveling tucked away on the A-340 in Darro, Granada, and bleeds to death on the asphalt (Mar 24, 2001)"
murdered,malicious intent related death / manslaughter,2001,1,"killed by Morroccan refugee who did not want to be deported from jail in Almeria (E)  (Mar 21, 2001)"
car accident,"violent accidental death (transport, blown in minefield...)",2001,12,"died in a van accident near Murcia (E), were undocumented migrant workers (Feb 28, 2001)"
lack of medical care,drowning or exhaustion related death,2001,1,"died after insufficiant medical care at asylum seekers centre Waddingxveen (NL) (Feb 21, 2001)"
died after a fight,malicious intent related death / manslaughter,2001,1,"died in refugee centre in Wien, stabbed during a massive fight not stopped by guards (Feb 18, 2001)"
frozen,"violent accidental death (transport, blown in minefield...)",2001,1,"stowaway, froze to death in wheelbay on flight from Gatwick (GB) to USA (Feb 18, 2001)"
asphyxiated,drowning or exhaustion related death,2001,2,"2 dead in the hold of a freighter turkish party from Tunisia and landed in Brindisi, where were hidden, probably killed by the fumes of the cargo oil sanza (Feb 8, 2001)"
run over by a train,"violent accidental death (transport, blown in minefield...)",2001,1,"Refugee dies under a train in Eurotunnel Calais terminal (Feb 1, 2001)"
hypothermia,drowning or exhaustion related death,2001,19,"died of hypothermia, found dead in mountains near Turkish-Iranian border (Dec 31, 2001)"
hypothermia,drowning or exhaustion related death,2001,1,"Man dies frozen to death trying to walk across the border between Turkey and Greece in Edirne (Jan 1, 2002)"
electrocuted,other,2001,1,"electrocuted on top of a train in the Channel Tunnel heading for the GB (Dec 31, 2001). From Del Grande's data set (translated): Man electrocuted by an electric discharge over a train tunnel under the Channel to England (Jan 1, 2002)"
suicide - jumped in water,suicide,2001,1,"suicide, jumped off a bridge in Tyneside (GB) in fear of deportation (Dec 31, 2001)"
frozen,"violent accidental death (transport, blown in minefield...)",2001,2,"London Gatwick Airport. Found the bodies of two men frozen in undercarriage of a British Airways plane which were hidden (Dec 25, 2001)"
hypothermia,drowning or exhaustion related death,2001,1,"He died of hypothermia a man hidden in the hold of a freighter Ivorian direct to Holland (Dec 25, 2001)"
blown in minefield,"violent accidental death (transport, blown in minefield...)",2001,4,"died in minefield in Northern Greece trying to cross the Turkish-Greek border (Dec 22, 2001). From Del Grande's data set (translated): Found the remains of a man killed by an explosion in the mine fields between Gemisti and Gefyra, at the border between Turkey and Greece (Sep 29, 2001)"
asphyxiated,drowning or exhaustion related death,2001,4,"Livorno suffocated in trucks where they were hidden, 4 dead (Dec 12, 2001)"
asphyxiated,drowning or exhaustion related death,2001,8,"Suffocated in containers where they were hidden, 8 dead (Dec 9, 2001)"
electrocuted,other,2001,1,"electrocuted trying to get on board a Eurostar train at Calais (F) (Dec 3, 2001)"
burned,"violent accidental death (transport, blown in minefield...)",2001,1,"died of severe burns after fire in asylum seekers centre in Eschwege (D) (Nov 30, 2001)"
fall,"violent accidental death (transport, blown in minefield...)",2001,1,"fell from 3rd floor in London (GB) as immigration officials attempted to detain him (Nov 24, 2001)"
hypothermia,drowning or exhaustion related death,2001,1,"stowaway, died of hypothermia in ramp of cargo ship between Ivory Coast//NL (Nov 24, 2001)"
police violence,authorities related death,2001,1,"died in police custody (Brixton-GB) after being arrested, handcuffed and assaulted. (Nov 21, 2001)"
asphyxiated,drowning or exhaustion related death,2001,4,"stowaways, found dead inside container in port Livorno (I) on way to Canada (Nov 11, 2001)"
asphyxiated,drowning or exhaustion related death,2001,2,"stowaways, died inside cargo container on vessel on way from Italy to Canada (Nov 11, 2001)"
car accident,"violent accidental death (transport, blown in minefield...)",2001,1,"stowaway, fallen from lorry and rolled onto motorway from B to Calais (F) (Oct 29, 2001). From Del Grande's data set (translated): It falls under the truck which was traveling on the highway hidden for Calais, France, and died crushed (Oct 30, 2001)"
suicide - other,suicide,2001,1,"suicide, found hanged in asylum hostel in Leicester (GB) after his asylum  claim was refused (Jan 17, 2001)"
fall,"violent accidental death (transport, blown in minefield...)",2001,1,"died trying to escape out of a hospital window in Milan (I) having no correct papers (Jan 10, 2001)"
asphyxiated,drowning or exhaustion related death,2001,1,"died in Granges (CH), suffocated during deportation to Nigeria (Jan 4, 2001)"
heart failure,drowning or exhaustion related death,2001,1,"died of cardiac problems, after fleeing Germany to go to France in fear of deportation (Jan 4, 2001)"
shot by the police,authorities related death,2001,1,"kurd, rejected asylum seeker shot trying to escape police in Jönköping (S)  (Jan 2, 2001)"
murdered,malicious intent related death / manslaughter,2001,2,"murdered after they failed to pay smugglers on their way from Hungary to Austria (Jan 1, 2001)"
run over by a train,"violent accidental death (transport, blown in minefield...)",2001,1,"stowaway, hit mortally trying to jump on freight train through Channel tunnel(GB/F) (Jan 1, 2001)"
shot by the police,authorities related death,2001,1,"Kurd, rejected asylum seeker shot by policeman in Jönköping (S) trying to escape (Jan 1, 2001)"
suicide - jumped from building,suicide,2000,1,"suicide, jumped from church tower in Villach (A) afraid of deportation (Sep 18, 2000)"
asphyxiated,drowning or exhaustion related death,2000,2,"stowaways, suffocated in container on ship in the harbour of Korinthos (GR) (Sep 15, 2000). From Del Grande's data set (translated): At the port of Korinthos, in a container just downloaded, are found the bodies of three dead men (Sep 16, 2000)"
fall,"violent accidental death (transport, blown in minefield...)",2000,1,"fell to death from 6th floor window, trying to escape detention in Berlin Köpenick (D) (Aug 29, 2000)"
blown in minefield,"violent accidental death (transport, blown in minefield...)",2000,1,"killed in minefield on Greek-Turkish border trying to cross illegally (Aug 28, 2000). From Del Grande's data set (translated): An explosion in a minefield along the border turkish near Kipoi ago 1 dead. Death on the mines of the north-eastern border 7 people in 1999 (Aug 29, 2000)"
suicide - hanged,suicide,2000,1,"suicide, hanged himself with shoelaces in detention centre Hannover-Langenhagen (D) (Aug 11, 2000)"
run over by a train,"violent accidental death (transport, blown in minefield...)",2000,1,"crushed to death by truck in Sussex (GB) trying to immigrate to Britain illegally (Aug 3, 2000)"
suicide - other,suicide,2000,1,"suicide, laid down in the middle of a highway in Germany for fear of deportation (Jul 29, 2000)"
lack of medical care,drowning or exhaustion related death,2000,1,"died, kept on Lanarca airport (CY) for 11 days while being denied proper medical care (Jul 16, 2000)"
fall,"violent accidental death (transport, blown in minefield...)",2000,1,"died of injuries, jumping out of police van near Györ (H) trying to escape deportation (Jul 7, 2000)"
burned or asphyxiated due to arson attack,malicious intent related death / manslaughter,2000,1,"died after fire caused by rebellion in detention centre Seraino Vulpitta di Trappani (I) (Jun 30, 2000)"
car accident,"violent accidental death (transport, blown in minefield...)",2000,6,"died in van accident trying to reach Thessaloniki (GR) from Turkey (Jun 30, 2000)"
suicide - other,suicide,2000,1,"asylum seeker, committed suicide in Dublin (IRL) for fear of deportation (Jun 22, 2000)"
asphyxiated,drowning or exhaustion related death,2000,58,"suffocated in sealed trailer of a truck on ferry from Zeebrugge (B) to Dover (GB) (Jun 18, 2000)"
car accident,"violent accidental death (transport, blown in minefield...)",2000,1,"run over by truck on N-340 near San Roque (E) after disembarking illegaly from dinghy (Jun 11, 2000)"
crushed,"violent accidental death (transport, blown in minefield...)",2000,1,"stowaway, crushed to death in back of a truck on his way to Spain (Jun 7, 2000)"
suicide - hanged,suicide,2000,1,"suicide, at the asylum seekers transit station (detention) at Frankfurt (D) airport (Jun 4, 2000)"
frozen,"violent accidental death (transport, blown in minefield...)",2000,1,"Stockholm Airport. Found the bodies of two men frozen to death in the undercarriage of a plane departed from Dominican Republic (Jun 5, 2000)"
fall,"violent accidental death (transport, blown in minefield...)",2000,1,"died during deportation, jumped out of ferry which should have deported him; Bari (I) (Jun 2, 2000)"
crushed,"violent accidental death (transport, blown in minefield...)",2000,1,"died of burns and crushed head after falling from underneath lorry near Rinconcillo (E) (May 29, 2000)"
police violence,authorities related death,2000,1,"A young migrant detained by the police station on Lanzarote, in the Canary Islands. he was beaten. (May 21, 2000)"
lack of medical care,drowning or exhaustion related death,2000,1,"asylum seeker, died due to lack of medical attention in 'pension detention' in Gols (A) (May 16, 2000)"
shot by the police,authorities related death,2000,9,"The Turkish police opened fire on a group of migrants in Dogubayazit, near Agri, while they were crossing the border illegally with Iran. 9 dead and 5 injured (May 16, 2000)"
crushed,"violent accidental death (transport, blown in minefield...)",2000,6,"Inflatable Party from Morocco crashing against the rocks in Tarifa, 6 dead (May 13, 2000)"
fall,"violent accidental death (transport, blown in minefield...)",2000,1,"reportedly fell out of a truck in front of a car near El Ejido (E) (May 11, 2000)"
blown in minefield,"violent accidental death (transport, blown in minefield...)",2000,1,"A dead man in a minefield along the Evros River, the border between Turkey and Greece, while crossing the border on foot (May 8, 2000)"
run over by a truck,"violent accidental death (transport, blown in minefield...)",2000,1,"Found on the sides of a street in Cadiz the corpse of a migrant died under the wheels of the truck in which he was traveling hidden (May 1, 2000)"
crushed,"violent accidental death (transport, blown in minefield...)",2000,1,"died after he hit his head when boat driver tried to escape the border police near Otranto (I) (Apr 30, 2000)"
car accident,"violent accidental death (transport, blown in minefield...)",2000,1,"fell from underside truck, run over by car disembarking ferry in Algeciras (E)   (Apr 29, 2000)"
murdered,malicious intent related death / manslaughter,2000,1,"He died at the hospital in Lecce Man seriously injured after being thrown overboard by traffickers in the land along the coasts of Lecce on April 19 (Apr 24, 2000)"
murdered,malicious intent related death / manslaughter,2000,1,"stabbed to death in Netherlands by compratiot asylum seeker for fear of deportation (Apr 22, 2000)"
suicide - other,suicide,2000,1,"suicide after killing compatriot asylum seeker in fear of deportation in NL (Apr 22, 2000)"
