NCT Number,Title,Status,Conditions,Gender,Age,Phases,Enrollment,Study Type,Start Date,Completion Date,URL,clean_age,min_age,age_groups
NCT00948259,Safety Study of a Glycogen Synthase Kinase 3 (GSK3) Inhibitor in Patients With Alzheimer´s Disease,Completed,Alzheimer´s Disease,All,"60 Years to 85 Years   (Adult, Older Adult)",Phase 1|Phase 2,30,Interventional,December 2008,November 2009,https://ClinicalTrials.gov/show/NCT00948259,60 Years to 85 Years ,60,40 to 65 years old
NCT02991235,Efficacy and Safety of PRJ212 to Improve the Memory of Patients With Mild Severity Alzheimer's Disease,"Active, not recruiting",Alzheimer Disease,All,"60 Years to 85 Years   (Adult, Older Adult)",Not Applicable,30,Interventional,December 2016,December 2018,https://ClinicalTrials.gov/show/NCT02991235,60 Years to 85 Years ,60,40 to 65 years old
NCT02253732,Skeletal Muscle as a Mediator of Exercise Induced Effects on Metabolism & Cognitive Function: Role for Myokines & miRNAs,Completed,Mild Cognitive Impairment|Alzheimer Disease|Parkinson Disease|Healthy Volunteers,All,"60 Years to 85 Years   (Adult, Older Adult)",Not Applicable,30,Interventional,September 2015,March 2018,https://ClinicalTrials.gov/show/NCT02253732,60 Years to 85 Years ,60,40 to 65 years old
NCT03668405,A Study to Evaluate the Long-term Safety and Tolerability of Lu AF20513 and the Antibody Response in Patients With Alzheimer's Disease (AD),Terminated,Alzheimer's Disease,All,"60 Years to 85 Years   (Adult, Older Adult)",Phase 1,18,Interventional,"June 26, 2018","May 27, 2019",https://ClinicalTrials.gov/show/NCT03668405,60 Years to 85 Years ,60,40 to 65 years old
NCT02569398,An Efficacy and Safety Study of Atabecestat in Participants Who Are Asymptomatic at Risk for Developing Alzheimer's Dementia,Completed,Asymptomatic Amyloid-positive,All,"60 Years to 85 Years   (Adult, Older Adult)",Phase 2|Phase 3,596,Interventional,"October 29, 2015","December 20, 2018",https://ClinicalTrials.gov/show/NCT02569398,60 Years to 85 Years ,60,40 to 65 years old
NCT01039701,"4 Week, Safety and Tolerability Study in Patients With Mild to Moderate Alzheimer's Disease",Completed,Mild to Moderate Alzheimer's Disease,All,"60 Years to 85 Years   (Adult, Older Adult)",Phase 2,99,Interventional,December 2009,July 2010,https://ClinicalTrials.gov/show/NCT01039701,60 Years to 85 Years ,60,40 to 65 years old
NCT02608021,Neurotrack Test Validation Protocol,Recruiting,Mild Cognitive Impairment,All,"60 Years to 85 Years   (Adult, Older Adult)",Phase 4,80,Observational,"October 1, 2015",September 2019,https://ClinicalTrials.gov/show/NCT02608021,60 Years to 85 Years ,60,40 to 65 years old
NCT02615002,Safety and Efficacy of Piromelatine in Mild Alzheimer's Disease Patients (ReCOGNITION),"Active, not recruiting",Alzheimer's Disease,All,"60 Years to 85 Years   (Adult, Older Adult)",Phase 2,500,Interventional,November 2015,"November 30, 2019",https://ClinicalTrials.gov/show/NCT02615002,60 Years to 85 Years ,60,40 to 65 years old
NCT03954210,SIESTA: Sleep Intervention to Enhance Cognitive Status and Reduce Beta Amyloid,Recruiting,Insomnia,All,"60 Years to 85 Years   (Adult, Older Adult)",Not Applicable,200,Interventional,"August 27, 2019",September 2020,https://ClinicalTrials.gov/show/NCT03954210,60 Years to 85 Years ,60,40 to 65 years old
NCT00582127,Evaluation of the COGNISION(TM) System as an Event-related Potential (ERP) Collection System.,Completed,Alzheimer's Disease,All,"60 Years to 85 Years   (Adult, Older Adult)",Phase 4,50,Observational,January 2008,November 2010,https://ClinicalTrials.gov/show/NCT00582127,60 Years to 85 Years ,60,40 to 65 years old
NCT02423122,"A PET Study of the Effects of p38 MAP Kinase Inhibitor, VX-745, on Amyloid Plaque Load in Alzheimer's Disease (AD)",Completed,Alzheimer's Disease|Mild Cognitive Impairment,All,"60 Years to 85 Years   (Adult, Older Adult)",Phase 2,16,Interventional,April 2015,September 2016,https://ClinicalTrials.gov/show/NCT02423122,60 Years to 85 Years ,60,40 to 65 years old
NCT02839187,Neuro Imaging and Multimodal Alzheimer's Disease,Completed,Alzheimer Disease,All,"60 Years to 85 Years   (Adult, Older Adult)",Not Applicable,59,Interventional,June 2010,May 2012,https://ClinicalTrials.gov/show/NCT02839187,60 Years to 85 Years ,60,40 to 65 years old
NCT01481961,Study of Repetitive Transcranial Magnetic Stimulation (rTMS) as add-on Treatment for Early Alzheimer's Disease,Completed,Alzheimer's Disease|Cognition Disorders,All,"60 Years to 85 Years   (Adult, Older Adult)",Not Applicable,15,Interventional,November 2010,May 2012,https://ClinicalTrials.gov/show/NCT01481961,60 Years to 85 Years ,60,40 to 65 years old
NCT03784183,Neuropsychological and Neurophysiological Effects of Cognitive Stimulation in Patients With Alzheimer's Disease and Mild Cognitive Impairment,Recruiting,Alzheimer Disease,All,"60 Years to 85 Years   (Adult, Older Adult)",Not Applicable,126,Interventional,"September 27, 2018","October 1, 2020",https://ClinicalTrials.gov/show/NCT03784183,60 Years to 85 Years ,60,40 to 65 years old
NCT02913664,Risk Reduction for Alzheimer's Disease,Recruiting,Cognitively Normal Older Adults|Hypertension|Subjective Cognitive Decline|Family History of Alzheimer's Disease,All,"60 Years to 85 Years   (Adult, Older Adult)",Phase 2|Phase 3,640,Interventional,September 2016,September 2022,https://ClinicalTrials.gov/show/NCT02913664,60 Years to 85 Years ,60,40 to 65 years old
NCT02388152,Study to Evaluate the Safety and Tolerability of a New Drug Named Lu AF20513 in Patients With Mild Alzheimer's Disease,Terminated,Alzheimer Disease,All,"60 Years to 85 Years   (Adult, Older Adult)",Phase 1,50,Interventional,March 2015,"July 4, 2019",https://ClinicalTrials.gov/show/NCT02388152,60 Years to 85 Years ,60,40 to 65 years old
NCT03367403,A Study of LY3002813 in Participants With Early Symptomatic Alzheimer's Disease (TRAILBLAZER-ALZ),"Active, not recruiting",Alzheimer Disease,All,"60 Years to 85 Years   (Adult, Older Adult)",Phase 2,266,Interventional,"December 18, 2017","November 12, 2021",https://ClinicalTrials.gov/show/NCT03367403,60 Years to 85 Years ,60,40 to 65 years old
NCT01428362,VI-1121 for the Treatment Alzheimer's Disease,Completed,Alzheimer's Disease,All,"60 Years to 85 Years   (Adult, Older Adult)",Phase 2,61,Interventional,August 2011,August 2013,https://ClinicalTrials.gov/show/NCT01428362,60 Years to 85 Years ,60,40 to 65 years old
NCT00117403,Anti-Oxidant Treatment of Alzheimer's Disease,Completed,Alzheimer's Disease,All,"60 Years to 85 Years   (Adult, Older Adult)",Phase 1,75,Interventional,January 2006,September 2007,https://ClinicalTrials.gov/show/NCT00117403,60 Years to 85 Years ,60,40 to 65 years old
NCT03860857,MRI and PET Biomarkers for Cognitive Decline in Older Adults,Recruiting,Alzheimer Disease|Cognitive Impairment|Cognitive Decline,All,"60 Years to 85 Years   (Adult, Older Adult)",Phase 3,200,Interventional,"May 1, 2018","December 22, 2024",https://ClinicalTrials.gov/show/NCT03860857,60 Years to 85 Years ,60,40 to 65 years old
NCT01716637,Short Term Efficacy and Safety of Perispinal Administration of Etanercept in Mild to Moderate Alzheimer's Disease,Completed,Alzheimer's Disease,All,"60 Years to 85 Years   (Adult, Older Adult)",Phase 1,12,Interventional,February 2010,May 2016,https://ClinicalTrials.gov/show/NCT01716637,60 Years to 85 Years ,60,40 to 65 years old
NCT03020381,Gait as Predictor of Dementia and Falls. The Gait and Brain Cohort Study,Recruiting,Gait Apraxia|Mild Cognitive Impairment|Subjective Cognitive Impairment|Cerebral Atrophy|Alzheimer Disease|Dementia,All,"60 Years to 85 Years   (Adult, Older Adult)",Phase 4,400,Observational,December 2007,December 2020,https://ClinicalTrials.gov/show/NCT03020381,60 Years to 85 Years ,60,40 to 65 years old
NCT02305836,Effect of Electroacupuncture Combined With Donepezil for Treating Alzheimer's Disease,Recruiting,Cognitive Impairment,All,"60 Years to 85 Years   (Adult, Older Adult)",Phase 2,334,Interventional,June 2017,December 2019,https://ClinicalTrials.gov/show/NCT02305836,60 Years to 85 Years ,60,40 to 65 years old
NCT00501111,Proof of Concept Study of Cognitive Improvement in Patients With Alzheimer's Disease,Completed,Alzheimer Disease,All,"60 Years to 85 Years   (Adult, Older Adult)",Phase 2,659,Interventional,July 2007,August 2008,https://ClinicalTrials.gov/show/NCT00501111,60 Years to 85 Years ,60,40 to 65 years old
NCT03467477,Tau Screening Study in Subjects With Early Symptomatic AD,Completed,Alzheimer Disease,All,"60 Years to 85 Years   (Adult, Older Adult)",Phase 2,161,Interventional,"March 8, 2018","November 15, 2018",https://ClinicalTrials.gov/show/NCT03467477,60 Years to 85 Years ,60,40 to 65 years old
NCT03322462,Tau Screening Study in Patients With Early Symptomatic AD,Completed,Alzheimer Disease,All,"60 Years to 85 Years   (Adult, Older Adult)",Phase 2,153,Interventional,"October 26, 2017","August 31, 2018",https://ClinicalTrials.gov/show/NCT03322462,60 Years to 85 Years ,60,40 to 65 years old
NCT03518073,A Study of LY3303560 in Participants With Early Symptomatic Alzheimer's Disease,"Active, not recruiting",Alzheimer Disease (AD),All,"60 Years to 85 Years   (Adult, Older Adult)",Phase 2,285,Interventional,"April 30, 2018","October 22, 2021",https://ClinicalTrials.gov/show/NCT03518073,60 Years to 85 Years ,60,40 to 65 years old
NCT03333837,Improvisational Movement for People With Memory Loss and Their Caregivers,Recruiting,Alzheimer's Disease (Incl Subtypes)|Dementia|Mild Cognitive Impairment,All,"60 Years to 85 Years   (Adult, Older Adult)",Not Applicable,240,Interventional,"February 6, 2018",April 2020,https://ClinicalTrials.gov/show/NCT03333837,60 Years to 85 Years ,60,40 to 65 years old
NCT03270137,Repetitive Transcranial Magnetic Stimulation in Patients With Alzheimer Disease,Unknown status,Alzheimer Disease|Transcranial Magnetic Stimulation,All,"60 Years to 85 Years   (Adult, Older Adult)",Not Applicable,19,Interventional,"March 10, 2016","August 31, 2017",https://ClinicalTrials.gov/show/NCT03270137,60 Years to 85 Years ,60,40 to 65 years old
NCT01038726,Effects of Exercise and Cognitive Training on Cognitive Function in Older Adults,Completed,Aging|Alzheimer's Disease,All,"60 Years to 85 Years   (Adult, Older Adult)",Not Applicable,108,Interventional,December 2009,September 2012,https://ClinicalTrials.gov/show/NCT01038726,60 Years to 85 Years ,60,40 to 65 years old
NCT02350634,18F-AV-1451 High Resolution Autopsy Study,Completed,Alzheimer's Disease,All,"60 Years to 89 Years   (Adult, Older Adult)",Phase 1,3,Interventional,June 2015,"May 18, 2018",https://ClinicalTrials.gov/show/NCT02350634,60 Years to 89 Years ,60,40 to 65 years old
NCT03359902,Treatment of Mild Cognitive Impairment With Transcutaneous Vagal Nerve Stimulation,Recruiting,Mild Cognitive Impairment,All,"60 Years to 89 Years   (Adult, Older Adult)",Not Applicable,250,Interventional,"January 1, 2018","June 30, 2020",https://ClinicalTrials.gov/show/NCT03359902,60 Years to 89 Years ,60,40 to 65 years old
NCT02792257,Trial of Dronabinol Adjunctive Treatment of Agitation in Alzheimer's Disease (AD) (THC-AD),Recruiting,Alzheimer's Disease,All,"60 Years to 90 Years   (Adult, Older Adult)",Phase 2,160,Interventional,"March 1, 2017",December 2020,https://ClinicalTrials.gov/show/NCT02792257,60 Years to 90 Years ,60,40 to 65 years old
NCT04075435,Cannabidiol Solution for the Treatment of Behavioral Symptoms in Older Adults With Alzheimer's Dementia,Not yet recruiting,"Alzheimer Disease|Anxiety|Agitation,Psychomotor",All,"60 Years to 90 Years   (Adult, Older Adult)",Early Phase 1,12,Interventional,"November 1, 2019","November 1, 2021",https://ClinicalTrials.gov/show/NCT04075435,60 Years to 90 Years ,60,40 to 65 years old
NCT02263287,"LESCOD: ""Lewy Body Screening in Cognitive Disorders""",Terminated,Alzheimer Disease|Lewy Body Disease,All,"60 Years to 90 Years   (Adult, Older Adult)",Not Applicable,133,Interventional,October 2014,August 2017,https://ClinicalTrials.gov/show/NCT02263287,60 Years to 90 Years ,60,40 to 65 years old
NCT04010175,Digital Cognitive Remote Training in Alzheimer's Disease (MA-EIAD),Not yet recruiting,Alzheimer Disease,All,"60 Years to 90 Years   (Adult, Older Adult)",Not Applicable,165,Interventional,September 2019,May 2022,https://ClinicalTrials.gov/show/NCT04010175,60 Years to 90 Years ,60,40 to 65 years old
NCT03001557,Study of Lemborexant for Irregular Sleep-Wake Rhythm Disorder and Mild to Moderate Alzheimer's Disease Dementia,"Active, not recruiting",Irregular Sleep-Wake Rhythm Disorder,All,"60 Years to 90 Years   (Adult, Older Adult)",Phase 2,62,Interventional,"December 20, 2016","April 9, 2020",https://ClinicalTrials.gov/show/NCT03001557,60 Years to 90 Years ,60,40 to 65 years old
NCT01825317,Effect of NeuroAD on Alzheimer Patients,Completed,Alzheimer's Disease,All,"60 Years to 90 Years   (Adult, Older Adult)",Not Applicable,32,Interventional,March 2013,December 2013,https://ClinicalTrials.gov/show/NCT01825317,60 Years to 90 Years ,60,40 to 65 years old
NCT01825330,Effect of NeuroAD on the Cognitive Function of Alzheimer Patients,Completed,Alzheimer's Disease,All,"60 Years to 90 Years   (Adult, Older Adult)",Not Applicable,131,Interventional,October 2013,March 2016,https://ClinicalTrials.gov/show/NCT01825330,60 Years to 90 Years ,60,40 to 65 years old
NCT01605448,Mindfulness Based Stress Reduction for Adults With Mild Cognitive Impairment,Completed,Mild Cognitive Impairment,All,"60 Years to 90 Years   (Adult, Older Adult)",Not Applicable,14,Interventional,January 2010,January 2012,https://ClinicalTrials.gov/show/NCT01605448,60 Years to 90 Years ,60,40 to 65 years old
NCT00040378,Prevention of Alzheimer's Disease by Vitamin E and Selenium (PREADVISE),Completed,Alzheimer Disease,Male,"60 Years to 90 Years   (Adult, Older Adult)",Phase 4,4246,Observational,May 2002,August 2016,https://ClinicalTrials.gov/show/NCT00040378,60 Years to 90 Years ,60,40 to 65 years old
NCT00908999,Functional Magnetic Resonance Imaging (fMRI) of Anosognosia in Amnestic Mild Cognitive Impairment (MCI) and Alzheimer's Disease (AD),Completed,Anosognosia|Alzheimer's Disease|Mild Cognitive Impairment,All,"60 Years to 90 Years   (Adult, Older Adult)",Phase 4,60,Observational,April 2008,September 2011,https://ClinicalTrials.gov/show/NCT00908999,60 Years to 90 Years ,60,40 to 65 years old
NCT00900770,Implications of Amyloid Pathology,Unknown status,Alzheimer's Disease,All,"60 Years to 90 Years   (Adult, Older Adult)",Phase 4,100,Observational,November 2008,March 2014,https://ClinicalTrials.gov/show/NCT00900770,60 Years to 90 Years ,60,40 to 65 years old
NCT00539305,Hormone and Information Processing Study,Completed,Mild Cognitive Impairment|Alzheimer's Disease,Male,"60 Years to 90 Years   (Adult, Older Adult)",Phase 3,22,Interventional,July 2009,May 2012,https://ClinicalTrials.gov/show/NCT00539305,60 Years to 90 Years ,60,40 to 65 years old
NCT00381381,The Clinical Response of Choline Acetyltransferase and Apolipoprotein Epsilon Gene Polymorphisms to Donepezil in Alzheimer's Disease,Completed,Alzheimer's Disease,All,"60 Years to 90 Years   (Adult, Older Adult)",Phase 4,199,Interventional,May 2006,December 2008,https://ClinicalTrials.gov/show/NCT00381381,60 Years to 90 Years ,60,40 to 65 years old
NCT00938665,Evaluation of a Handheld Event Related Potential (ERP)/Quantitative Electroencephalography (qEEG) System (COGNISION™) as a Useful Cognitive Biomarker for Alzheimer's Disease.,Completed,Memory Disorders|Alzheimer Disease|Dementia|Cognitive Impairment|Frontotemporal Dementia,All,"60 Years to 90 Years   (Adult, Older Adult)",Phase 4,204,Observational,December 2010,February 2014,https://ClinicalTrials.gov/show/NCT00938665,60 Years to 90 Years ,60,40 to 65 years old
NCT02772185,Neurostimulation and Cognitive Intervention in Alzheimer's Disease,Unknown status,Alzheimer's Disease,All,"60 Years to 90 Years   (Adult, Older Adult)",Phase 2|Phase 3,60,Interventional,May 2016,May 2019,https://ClinicalTrials.gov/show/NCT02772185,60 Years to 90 Years ,60,40 to 65 years old
NCT02074215,Effect of Exercises Training in Patients With Mild Cognitive Impairment and Early Alzheimer's Disease,Completed,Alzheimer's Disease,All,"60 Years to 90 Years   (Adult, Older Adult)",Not Applicable,19,Interventional,March 2011,December 2013,https://ClinicalTrials.gov/show/NCT02074215,60 Years to 90 Years ,60,40 to 65 years old
NCT03531710,"An Extension Study of V203-AD Study to Evaluate the Safety, Tolerability, Immunogenicity, and Efficacy of UB-311","Active, not recruiting",Alzheimer's Disease,All,"60 Years to 90 Years   (Adult, Older Adult)",Phase 2,34,Interventional,"August 10, 2018",April 2020,https://ClinicalTrials.gov/show/NCT03531710,60 Years to 90 Years ,60,40 to 65 years old
NCT03094546,Polyamine-enriched Diet in Elderly Individuals With Subjective Cognitive Decline,Recruiting,Subjective Cognitive Decline (SCD),All,"60 Years to 90 Years   (Adult, Older Adult)",Phase 2,100,Interventional,January 2017,June 2020,https://ClinicalTrials.gov/show/NCT03094546,60 Years to 90 Years ,60,40 to 65 years old
NCT03560960,Multi-Center Development of a Novel Diagnostic Test for Alzheimer's Disease,Not yet recruiting,Alzheimer Disease|Mild Cognitive Impairment,All,"60 Years to 90 Years   (Adult, Older Adult)",Early Phase 1,240,Interventional,October 2019,July 2023,https://ClinicalTrials.gov/show/NCT03560960,60 Years to 90 Years ,60,40 to 65 years old
NCT03520998,A Randomized Study to Assess the Safety of GRF6019 Infusions in Subjects With Mild to Moderate Alzheimer's Disease,Completed,Alzheimer Disease|Mild to Moderate Alzheimer Disease,All,"60 Years to 90 Years   (Adult, Older Adult)",Phase 2,40,Interventional,"April 16, 2018","May 24, 2019",https://ClinicalTrials.gov/show/NCT03520998,60 Years to 90 Years ,60,40 to 65 years old
NCT01819545,The Study of microRNA 107 (miRNA 107) and Beta-amyloid Precursor Protein-cleaving Enzyme 1 (BACE1) Messenger Ribonucleic Acid (mRNA) Gene Expression in Cerebrospinal Fluid and Peripheral Blood of Alzheimer's Disease,Unknown status,Alzheimer's Disease,All,"60 Years to 90 Years   (Adult, Older Adult)",Phase 4,300,Observational,January 2012,December 2015,https://ClinicalTrials.gov/show/NCT01819545,60 Years to 90 Years ,60,40 to 65 years old
NCT02142777,S-Equol in Alzheimer's Disease (SEAD) Trial,Completed,Alzheimer's Disease,Female,"60 Years to 90 Years   (Adult, Older Adult)",Phase 1,15,Interventional,July 2014,April 2016,https://ClinicalTrials.gov/show/NCT02142777,60 Years to 90 Years ,60,40 to 65 years old
NCT02166827,"Effects of a NeuroAD System, for the Treatment of Alzheimer Disease",Terminated,Alzheimer's Disease,All,"60 Years to 90 Years   (Adult, Older Adult)",Not Applicable,1,Interventional,November 2014,November 2015,https://ClinicalTrials.gov/show/NCT02166827,60 Years to 90 Years ,60,40 to 65 years old
NCT00880412,A Study to Determine the Clinical Safety/Tolerability and Exploratory Efficacy of EHT 0202 as Adjunctive Therapy to Acetylcholinesterase Inhibitor in Mild to Moderate Alzheimer's Disease,Completed,Alzheimer's Disease,All,"60 Years to 90 Years   (Adult, Older Adult)",Phase 2,197,Interventional,April 2008,August 2009,https://ClinicalTrials.gov/show/NCT00880412,60 Years to 90 Years ,60,40 to 65 years old
NCT00911690,Establishment of a Bank of Biospecimens for Future Research on Age-related Cognitive Disorders,Completed,Dementia|Alzheimers Disease,All,"60 Years to 90 Years   (Adult, Older Adult)",Phase 4,102,Observational,July 2009,March 2016,https://ClinicalTrials.gov/show/NCT00911690,60 Years to 90 Years ,60,40 to 65 years old
NCT00319891,Computer-Based Training for Mild Alzheimer's Disease,Completed,Alzheimer's Disease,All,"60 Years to 90 Years   (Adult, Older Adult)",Phase 1,6,Interventional,September 2004,October 2006,https://ClinicalTrials.gov/show/NCT00319891,60 Years to 90 Years ,60,40 to 65 years old
NCT02551809,"Evaluate the Safety, Tolerability, Immunogenicity and Efficacy of UB-311 in Mild Alzheimer's Disease (AD) Patients",Completed,Alzheimer's Disease,All,"60 Years to 90 Years   (Adult, Older Adult)",Phase 2,43,Interventional,October 2015,August 2018,https://ClinicalTrials.gov/show/NCT02551809,60 Years to 90 Years ,60,40 to 65 years old
NCT02147652,Personalized Music Therapy and Agitation in Dementia,Enrolling by invitation,Alzheimer's Disease|Vascular Dementia,All,"60 Years to 90 Years   (Adult, Older Adult)",Not Applicable,60,Interventional,"October 14, 2014",June 2020,https://ClinicalTrials.gov/show/NCT02147652,60 Years to 90 Years ,60,40 to 65 years old
NCT00824967,Non Pharmacological Management of Behavioural Symptoms in Nursing Home,Terminated,ALZHEIMER Disease,All,"60 Years to 90 Years   (Adult, Older Adult)",Not Applicable,306,Interventional,October 2007,October 2009,https://ClinicalTrials.gov/show/NCT00824967,60 Years to 90 Years ,60,40 to 65 years old
NCT02769234,EEG/ERP Longitudinal Study in Alzheimer's Disease (AD),Unknown status,Alzheimer's Disease,All,"60 Years to 95 Years   (Adult, Older Adult)",Phase 4,75,Observational,May 2016,July 2017,https://ClinicalTrials.gov/show/NCT02769234,60 Years to 95 Years ,60,40 to 65 years old
NCT03765762,A Study to Assess the Safety of GRF6019 Infusions in Subjects With Severe Alzheimer's Disease,Recruiting,Severe Alzheimer Disease,All,"60 Years to 95 Years   (Adult, Older Adult)",Phase 2,20,Interventional,"January 15, 2019",March 2020,https://ClinicalTrials.gov/show/NCT03765762,60 Years to 95 Years ,60,40 to 65 years old
NCT03300726,Synaptic Injury and Functional Connectivity in Alzheimer's Disease,"Active, not recruiting","Alzheimer Disease, Late Onset",All,"60 Years to 95 Years   (Adult, Older Adult)",Phase 4,30,Observational,"February 12, 2018","December 31, 2019",https://ClinicalTrials.gov/show/NCT03300726,60 Years to 95 Years ,60,40 to 65 years old
NCT01935024,Benefits of Exercise in Alzheimer's Disease,Recruiting,Alzheimer's Disease,All,"60 Years to 95 Years   (Adult, Older Adult)",Not Applicable,60,Interventional,"August 1, 2013",April 2020,https://ClinicalTrials.gov/show/NCT01935024,60 Years to 95 Years ,60,40 to 65 years old
NCT01454453,Optimisation of Antipsychotic Drug Use in Older People,Terminated,Alzheimer's Disease|Schizophrenia,All,"60 Years to 95 Years   (Adult, Older Adult)",Phase 4,64,Interventional,May 2012,July 2015,https://ClinicalTrials.gov/show/NCT01454453,60 Years to 95 Years ,60,40 to 65 years old
NCT02833870,Non-pharmacological Care of Alzheimer's Disease: Benefice of Musical Interventions,Completed,Alzheimer's Disease (AD) and Related Disorders,All,"60 Years to 99 Years   (Adult, Older Adult)",Not Applicable,150,Interventional,September 2013,June 2015,https://ClinicalTrials.gov/show/NCT02833870,60 Years to 99 Years ,60,40 to 65 years old
NCT00814502,Zolpidem CR and Hospitalized Patients With Dementia,Completed,"Dementia|Alzheimer Disease|Dementia, Vascular|Sleep Disorders|Circadian Dysregulation",All,"60 Years to 99 Years   (Adult, Older Adult)",Not Applicable,20,Interventional,December 2008,December 2013,https://ClinicalTrials.gov/show/NCT00814502,60 Years to 99 Years ,60,40 to 65 years old
NCT00260624,Escitalopram Treatment of Patients With Agitated Dementia,Completed,Alzheimer's Disease|Psychomotor Agitation,All,"61 Years and older   (Adult, Older Adult)",Phase 4,20,Interventional,February 2003,December 2006,https://ClinicalTrials.gov/show/NCT00260624,61 Years and older ,61,40 to 65 years old
NCT03537729,Effects of Visual Cues and Education for People Who Live Within Long Term Care Communities to Assist in Wayfinding,Recruiting,Alzheimer Disease|Alzheimer Dementia|Age-Related Memory Disorders|Dementia,All,"62 Years and older   (Adult, Older Adult)",Not Applicable,137,Interventional,"April 1, 2019","April 30, 2023",https://ClinicalTrials.gov/show/NCT03537729,62 Years and older ,62,40 to 65 years old
NCT00056628,COGNIShunt® System for Alzheimer's Disease,Completed,Alzheimer Disease,All,"62 Years to 85 Years   (Adult, Older Adult)",Phase 3,250,Interventional,January 2001,October 2004,https://ClinicalTrials.gov/show/NCT00056628,62 Years to 85 Years ,62,40 to 65 years old
NCT02958930,Safety and Efficacy of Transcranial Electromagnetic Treatment Against Alzheimer's Disease,Completed,"Alzheimer Disease|Alzheimer Disease, Late Onset",All,"63 Years and older   (Adult, Older Adult)",Not Applicable,8,Interventional,"October 1, 2017","January 11, 2019",https://ClinicalTrials.gov/show/NCT02958930,63 Years and older ,63,40 to 65 years old
NCT03927040,Transcranial Electromagnetic Treatment Against Alzheimer's Disease,"Active, not recruiting","Alzheimer Disease|Alzheimer Disease, Late Onset",All,"63 Years to 84 Years   (Adult, Older Adult)",Not Applicable,7,Interventional,"April 15, 2019",October 2019,https://ClinicalTrials.gov/show/NCT03927040,63 Years to 84 Years ,63,40 to 65 years old
NCT03313895,The ACT Trial: Effects of Combined Aerobic Exercise and Cognitive Training in MCI,Recruiting,Mild Cognitive Impairment,All,65 Years and older   (Older Adult),Not Applicable,128,Interventional,"July 5, 2018","May 31, 2022",https://ClinicalTrials.gov/show/NCT03313895,65 Years and older ,65,40 to 65 years old
NCT01847586,Enhancing Neuroplasticity and Frontal Lobe Function in Patients With Mild Alzheimer's Disease,Completed,Alzheimer's Disease,All,65 Years and older   (Older Adult),Not Applicable,49,Interventional,April 2013,October 2017,https://ClinicalTrials.gov/show/NCT01847586,65 Years and older ,65,40 to 65 years old
NCT03333096,Assessing Neurovisual Function in Patients With Cognitive Impairment,Recruiting,Glaucoma|Mild Cognitive Impairment|Glaucoma and Mild Cognitive Impairment|Healthy,All,65 Years and older   (Older Adult),Not Applicable,60,Interventional,"December 1, 2017","January 1, 2019",https://ClinicalTrials.gov/show/NCT03333096,65 Years and older ,65,40 to 65 years old
NCT00831298,Assessment of Sleep Disturbance in Alzheimer Disease,Completed,Alzheimer Disease,All,65 Years and older   (Older Adult),Not Applicable,70,Interventional,July 2010,November 2011,https://ClinicalTrials.gov/show/NCT00831298,65 Years and older ,65,40 to 65 years old
NCT03672279,Validation of a Novel Self-Administered Cognitive Assessment Tool (CogCheck) in Patients With Mild and Major Neurocognitive Disorder,Not yet recruiting,"Dementia Alzheimers|Dementia|Mild Cognitive Impairment|Dementia, Vascular|Dementia With Lewy Bodies|Cognition Disorders|Neurocognitive Disorders",All,65 Years and older   (Older Adult),Phase 4,150,Observational,"July 1, 2020","December 31, 2024",https://ClinicalTrials.gov/show/NCT03672279,65 Years and older ,65,40 to 65 years old
NCT03462121,A Clinical Study Evaluating the Efficacy and Safety of RPh201 Treatment in Individuals With Alzheimer's Disease With or Without Coexisting Cerebrovascular Disease,Recruiting,Mild to Moderate Dementia Due to Alzheimer's Disease|With or Without Coexisting Cerebrovascular Disease,All,65 Years and older   (Older Adult),Phase 2,81,Interventional,"March 1, 2018","July 30, 2020",https://ClinicalTrials.gov/show/NCT03462121,65 Years and older ,65,40 to 65 years old
NCT00814346,Effect of EGb761® on Brain Glucose Metabolism in Three Groups of Elderly Defined by Cognitive Functions,Completed,Alzheimer's Disease|Cognitive Impairment,All,65 Years and older   (Older Adult),Phase 2,49,Interventional,October 2008,July 2012,https://ClinicalTrials.gov/show/NCT00814346,65 Years and older ,65,40 to 65 years old
NCT00177671,Antidepressant Medication Plus Donepezil for Treating Late-life Depression,Completed,Depression|Dementia,All,65 Years and older   (Older Adult),Phase 4,220,Interventional,December 2003,September 2009,https://ClinicalTrials.gov/show/NCT00177671,65 Years and older ,65,40 to 65 years old
NCT03287765,Evaluating the Relationship Between Tau PET Imaging and CSF Biomarkers of AD (Alzheimer Disease) in Humans,Recruiting,Alzheimer Disease,All,65 Years and older   (Older Adult),Phase 2,80,Interventional,May 2016,November 2021,https://ClinicalTrials.gov/show/NCT03287765,65 Years and older ,65,40 to 65 years old
NCT03941119,Evaluating the Impact of VR-therapy on BPSD and QoL of Individuals With Dementia Admitted to Hospital,Recruiting,Dementia|Delirium Superimposed on Dementia,All,65 Years and older   (Older Adult),Not Applicable,200,Interventional,"May 6, 2019","June 15, 2021",https://ClinicalTrials.gov/show/NCT03941119,65 Years and older ,65,40 to 65 years old
